skola	nazov	mesto	ulica	adresa	m_n	m_z
641006	Gymnázium	Želiezovce	Štúrova 16	Štúrova 16, Želiezovce	2	2.5
641007	Gymnázium J. A. Komenského s VJM - Comenius Gimnázium	Želiezovce	Štúrova 16	Štúrova 16, Želiezovce	3	1.7
641008	Gymnázium	Nitra	Golianova 68	Golianova 68, Nitra	45	1.6
641009	Gymnázium	Nitra	Parovská 1	Parovská 1, Nitra	53	1.6
641010	Spojená katolícka škola - Gymnázium sv. Cyrila a Metoda	Nitra	Farská 19	Farská 19, Nitra	16	2.3
641011	Piaristická spojená škola sv. Jozefa Kalazanského - Piaristické gymnázium sv. Jozefa Kalazanského	Nitra	Piaristická 6	Piaristická 6, Nitra	17	2.9
641012	Gymnázium	Vráble	Školská 1232/26	Školská 1232/26, Vráble	11	2.6
641013	Gymnázium	Nové Zámky	M. R. Štefánika 16	M. R. Štefánika 16, Nové Zámky	31	1.6
641015	Gymnázium	Šurany	Bernolákova 37	Bernolákova 37, Šurany	15	—
641016	Gymnázium Juraja Fándlyho	Šaľa	Školská 3	Školská 3, Šaľa	18	1.8
641017	Gymnázium	Topoľčany	Ul. 17. novembra 1180/16	Ul. 17. novembra 1180/16, Topoľčany	28	2.1
641018	Gymnázium sv. Vincenta de Paul	Topoľčany	Ul. 17. novembra 1056	Ul. 17. novembra 1056, Topoľčany	1	—
641019	Gymnázium Janka Kráľa	Zlaté Moravce	SNP 3	SNP 3, Zlaté Moravce	12	1.2
641021	Gymnázium P. Czeglédiho Reformovanej kresťanskej cirkvi s VJM	Levice	J. Jesenského 41	J. Jesenského 41, Levice	1	—
641022	Spojená škola - Športové gymnázium	Nitra	Slančíkovej 2	Slančíkovej 2, Nitra	13	2.2
641023	Gymnázium P. Pázmáňa s VJM - Pázmány Péter Gimnázium	Nové Zámky	Letomostie 3	Letomostie 3, Nové Zámky	10	1.1
641024	Katolícka spojená škola sv. Vincenta de Paul - Gymnázium sv. Vincenta de Paul	Levice	Saratovská 87	Saratovská 87, Levice	5	1.8
641029	Katolícka spojená škola F. Fegyvernekiho s VJM - Cirkevné gymnázium F. Fegyvernekiho s VJM	Šahy	SNP 4	SNP 4, Šahy	3	1.3
643012	Stredná odborná škola techniky a služieb	Topoľčany	Tovarnícka 1609	Tovarnícka 1609, Topoľčany	1	—
643023	Stredná odborná škola technická - Műszaki Szakközépiskola	Komárno	Bratislavská 10	Bratislavská 10, Komárno	3	1.7
644001	Stredná priemyselná škola stavebná - Építőipari Szakközépiskola	Hurbanovo	Konkolyho 8	Konkolyho 8, Hurbanovo	20	2.3
644002	Stredná priemyselná škola stavebná	Nitra	Cabajská 4	Cabajská 4, Nitra	5	1.4
644501	Stredná priemyselná škola	Komárno	Petöfiho 2	Petöfiho 2, Komárno	55	2.8
644503	Stredná priemyselná škola strojnícka a elektrotechnická	Nitra	Fr. Kráľa 20	Fr. Kráľa 20, Nitra	5	1.4
644504	Spojená škola - Stredná priemyselná škola	Šaľa	Nivy 2	Nivy 2, Šaľa	1	—
646001	Spojená škola - Hotelová akadémia	Nitra	Slančíkovej 2	Slančíkovej 2, Nitra	1	—
646105	Obchodná akadémia	Topoľčany	Inovecká 2041	Inovecká 2041, Topoľčany	5	1.8
648102	Stredná odborná škola technická	Šurany	Nitrianska 61	Nitrianska 61, Šurany	4	1.3
648202	Stredná odborná škola polytechnická	Zlaté Moravce	SNP 2	SNP 2, Zlaté Moravce	1	—
648301	Spojená škola - Stredná priemyselná škola elektrotechnická S. A. Jedlika	Nové Zámky	Komárňanská 28	Komárňanská 28, Nové Zámky	19	2.2
651001	Gymnázium	Bytča	Štefánikova 219/4	Štefánikova 219/4, Bytča	15	1.7
651002	Gymnázium Jozefa Miloslava Hurbana	Čadca	17. novembra 1296	17. novembra 1296, Čadca	42	1.9
651003	Gymnázium	Turzovka	Ľ. Štúra 35	Ľ. Štúra 35, Turzovka	11	2.9
651004	Gymnázium P. O. Hviezdoslava	Dolný Kubín	Hviezdoslavovo námestie 18	Hviezdoslavovo námestie 18, Dolný Kubín	40	2.2
651006	Cirkevné gymnázium Andreja Radlinského	Dolný Kubín	Okružná 2062/25	Okružná 2062/25, Dolný Kubín	8	1
651007	Gymnázium	Kysucké Nové Mesto	Jesenského 2243	Jesenského 2243, Kysucké Nové Mesto	25	—
651008	Gymnázium	Liptovský Hrádok	Hradná 497/23	Hradná 497/23, Liptovský Hrádok	14	1.8
651009	Gymnázium Michala Miloslava Hodžu	Liptovský Mikuláš	M. M. Hodžu 860/9	M. M. Hodžu 860/9, Liptovský Mikuláš	22	2
651010	Evanjelická spojená škola - Evanjelické gymnázium J. Tranovského	Liptovský Mikuláš	Komenského 10	Komenského 10, Liptovský Mikuláš	7	1.6
651011	Gymnázium Jozefa Lettricha	Martin	Lettricha 2	Lettricha 2, Martin	21	1.9
