skola	nazov	mesto	ulica	adresa	m_n	m_z
671016	Gymnázium sv. Františka Assiského	Levoča	Kláštorská 24	Kláštorská 24, Levoča	13	2.2
671019	Gymnázium	Medzilaborce	Duchnovičova 13	Duchnovičova 13, Medzilaborce	12	1.5
671021	Súkromné gymnázium	Poprad	Rovná 597/15	Rovná 597/15, Poprad	2	2.5
671022	Spojená škola - Gymnázium	Poprad	Dominika Tatarku 4666/7	Dominika Tatarku 4666/7, Poprad	31	1.6
671023	Gymnázium	Poprad	Kukučinova 4239/1	Kukučinova 4239/1, Poprad	43	2.1
671024	Cirkevné gymnázium P. U. Olivu	Poprad	Dlhé hony 3522	Dlhé hony 3522, Poprad	4	1.3
671027	Spojená škola Tarasa Ševčenka - Gymnázium	Prešov	Sládkovičova 4	Sládkovičova 4, Prešov	3	1
671028	Katolícka spojená škola sv. Mikuláša - Gymnázium sv. Mikuláša	Prešov	Duklianska 16	Duklianska 16, Prešov	12	2.4
671029	Gymnázium	Prešov	Konštantínova 2	Konštantínova 2, Prešov	41	1.7
671030	Gymnázium sv. Moniky	Prešov	Tarasa Ševčenka 1	Tarasa Ševčenka 1, Prešov	26	1.7
671031	Evanjelická spojená škola - Evanjelické kolegiálne gymnázium	Prešov	Námestie legionárov 3	Námestie legionárov 3, Prešov	10	2.1
671032	Gymnázium J. A. Raymana	Prešov	Mudroňova 20	Mudroňova 20, Prešov	47	1.5
671034	Súkromná spojená škola European English School - Súkromné gymnázium	Prešov	Solivarská 28	Solivarská 28, Prešov	6	1.7
671035	Gymnázium bl. Pavla Petra Gojdiča	Prešov	Bernolákova 21	Bernolákova 21, Prešov	10	2.3
671036	Súkromné športové gymnázium ELBA	Prešov	Smetanova 2	Smetanova 2, Prešov	2	2
671041	Gymnázium	Lipany	Komenského 13	Komenského 13, Lipany	33	1.8
671042	Súkromné Gymnázium DSA	Sabinov	Komenského 40	Komenského 40, Sabinov	7	2.9
671045	Gymnázium	Snina	Študentská 4	Študentská 4, Snina	10	1.7
671046	Cirkevná spojená škola - Gymnázium sv. Cyrila a Metoda	Snina	Švermova 10	Švermova 10, Snina	4	1.5
671050	Gymnázium Terézie Vansovej	Stará Ľubovňa	17. novembra 6	17. novembra 6, Stará Ľubovňa	30	1.8
671051	Cirkevné gymnázium sv. Mikuláša	Stará Ľubovňa	Štúrova 3	Štúrova 3, Stará Ľubovňa	13	1.6
671054	Gymnázium	Stropkov	Konštantínova 1751/64	Konštantínova 1751/64, Stropkov	16	2.3
671056	Gymnázium	Giraltovce	Dukelská 30	Dukelská 30, Giraltovce	10	1.7
671057	Gymnázium duklianskych hrdinov	Svidník	Komenského 16	Komenského 16, Svidník	11	2.1
671062	Gymnázium	Vranov nad Topľou	Dr. C. Daxnera 88	Dr. C. Daxnera 88, Vranov nad Topľou	39	2.1
671063	Cirkevná spojená škola - Gymnázium	Vranov nad Topľou	Školská 650	Školská 650, Vranov nad Topľou	6	2
673026	Súkromná stredná odborná škola	Poprad	Ul. 29. augusta 4812	Ul. 29. augusta 4812, Poprad	14	1.1
673043	Spojená škola - Stredná odborná škola	Sabinov	SNP 16	SNP 16, Sabinov	2	2
673707	Stredná odborná škola drevárska	Vranov nad Topľou	Lúčna 1055	Lúčna 1055, Vranov nad Topľou	2	2
674007	Stredná priemyselná škola stavebná	Prešov	Plzenská 10	Plzenská 10, Prešov	16	1.7
674501	Stredná priemyselná škola	Bardejov	Komenského 5	Komenského 5, Bardejov	11	1.9
674511	Stredná priemyselná škola	Poprad	Mnoheľova 828	Mnoheľova 828, Poprad	16	1.9
674522	Stredná priemyselná škola	Snina	Partizánska 1059/23	Partizánska 1059/23, Snina	10	2.1
676004	Hotelová akadémia	Humenné	Štefánikova 28	Štefánikova 28, Humenné	3	1.7
676013	Hotelová akadémia	Prešov	Baštová 32	Baštová 32, Prešov	4	2
676101	Obchodná akadémia	Bardejov	Komenského 5	Komenského 5, Bardejov	6	1
676110	Obchodná akadémia	Poprad	Murgašova 94	Murgašova 94, Poprad	4	1.8
676116	Obchodná akadémia	Prešov	Volgogradská 3	Volgogradská 3, Prešov	6	1.5
676123	Obchodná akadémia	Stará Ľubovňa	Jarmočná 132	Jarmočná 132, Stará Ľubovňa	1	—
676127	Spojená škola - Obchodná akadémia	Svidník	Centrálna 464	Centrálna 464, Svidník	1	—
678104	Stredná odborná škola technická	Humenné	Družstevná 1737	Družstevná 1737, Humenné	22	2.4
678116	Stredná odborná škola technická	Poprad	Kukučínova 483/12	Kukučínova 483/12, Poprad	2	1.5
678119	Spojená škola - Stredná odborná škola technická	Prešov	Ľ. Podjavorinskej 22	Ľ. Podjavorinskej 22, Prešov	1	—
678120	Stredná odborná škola technická	Prešov	Volgogradská 1	Volgogradská 1, Prešov	2	2.5
678128	Stredná odborná škola technická	Stará Ľubovňa	Levočská 40	Levočská 40, Stará Ľubovňa	2	3
678204	Stredná odborná škola polytechnická	Humenné	Štefánikova 1550/20	Štefánikova 1550/20, Humenné	12	1.7
678316	Stredná odborná škola elektrotechnická	Poprad	Hlavná 1400/1	Hlavná 1400/1, Poprad	1	—
678318	Stredná priemyselná škola elektrotechnická	Prešov	Plzenská 1	Plzenská 1, Prešov	110	2.4
681001	Gymnázium	Gelnica	SNP 1	SNP 1, Gelnica	4	2
681003	Súkromné športové gymnázium	Košice	Užhorodská 39	Užhorodská 39, Košice	2	2
681004	Gymnázium Milana Rastislava Štefánika	Košice	Námestie L. Novomeského 4	Námestie L. Novomeského 4, Košice	6	1.5
681005	Gymnázium a ZŠ Sándora Máraiho s VJM - Márai Sándor Magyar Tanítási Nyelvű Gimnázium és Alapiskola	Košice	Kuzmányho 6	Kuzmányho 6, Košice	9	1.3
681006	Gymnázium	Košice	Poštová 9	Poštová 9, Košice	53	1.7
681007	Gymnázium sv. Tomáša Akvinského	Košice	Zbrojničná 3	Zbrojničná 3, Košice	33	2.5
681008	Gymnázium	Košice	Šrobárova 1	Šrobárova 1, Košice	43	2.3
681014	Súkromné gymnázium	Košice	Katkin park 2	Katkin park 2, Košice	3	2.7
681015	Športové gymnázium	Košice	Trieda SNP 104	Trieda SNP 104, Košice	9	1.9
681016	Gymnázium	Košice	Trebišovská 12	Trebišovská 12, Košice	27	1.9
681017	Gymnázium	Košice	Park mládeže 5	Park mládeže 5, Košice	34	2.3
681018	Spojená škola - Gymnázium sv. Košických mučeníkov	Košice	Čordákova 50	Čordákova 50, Košice	4	2.3
681022	Gymnázium sv. Edity Steinovej	Košice	Charkovská 1	Charkovská 1, Košice	22	1.8
681025	Gymnázium	Košice	Alejová 1	Alejová 1, Košice	46	1.8
681026	Súkromné gymnázium	Košice	Dneperská 1	Dneperská 1, Košice	9	1.7
681027	Evanjelické gymnázium Jána Ámosa Komenského	Košice	Škultétyho 10	Škultétyho 10, Košice	46	2.1
681028	Gymnázium	Košice	Opatovská cesta 7	Opatovská cesta 7, Košice	11	2.5
681032	Gymnázium Štefana Moysesa	Moldava nad Bodvou	Školská 13	Školská 13, Moldava nad Bodvou	4	1.8
681035	Gymnázium Pavla Horova	Michalovce	Masarykova 1	Masarykova 1, Michalovce	49	1.9
681036	Gymnázium	Michalovce	Ľ. Štúra 26	Ľ. Štúra 26, Michalovce	20	2
681037	Gymnázium - Gimnázium	Veľké Kapušany	Zoltána Fábryho 1	Zoltána Fábryho 1, Veľké Kapušany	6	2.2
681041	Gymnázium P. J. Šafárika - P. J. Šafárik Gimnázium	Rožňava	Ul. akademika Hronca 1	Ul. akademika Hronca 1, Rožňava	15	—
681044	Gymnázium	Sobrance	Kpt. Nálepku 6	Kpt. Nálepku 6, Sobrance	12	1.3
681047	Gymnázium	Krompachy	Lorencova 46	Lorencova 46, Krompachy	14	2.5
681048	Gymnázium	Spišská Nová Ves	Javorová 16	Javorová 16, Spišská Nová Ves	18	—
681049	Gymnázium	Spišská Nová Ves	Školská 7	Školská 7, Spišská Nová Ves	40	1.8
681050	Cirkevné gymnázium Štefana Mišíka	Spišská Nová Ves	Radničné námestie 271/8	Radničné námestie 271/8, Spišská Nová Ves	3	2
681054	Gymnázium - Gimnázium	Kráľovský Chlmec	Horešská 18	Horešská 18, Kráľovský Chlmec	18	2.1
681055	Spojená škola - Gymnázium	Sečovce	Kollárova 17	Kollárova 17, Sečovce	7	1.7
681056	Gymnázium	Trebišov	Komenského 32	Komenského 32, Trebišov	23	—
681057	Cirkevné gymnázium sv. Jána Krstiteľa	Trebišov	M. R. Štefánika 9	M. R. Štefánika 9, Trebišov	16	—
681058	Súkromné gymnázium FUTURUM	Košice	Grešákova 1	Grešákova 1, Košice	2	2
681059	Premonštrátske gymnázium	Košice	Kováčska 28	Kováčska 28, Košice	8	1.9
683003	Stredná odborná škola Jozefa Szakkayho - Szakkay József Szakközépiskola	Košice	Grešákova 1	Grešákova 1, Košice	1	—
683007	Stredná odborná škola	Košice	Učňovská 5	Učňovská 5, Košice	9	—
683010	Súkromná stredná odborná škola	Košice	Postupimská 37	Postupimská 37, Košice	1	—
683018	Stredná odborná škola	Košice	Ostrovského 1	Ostrovského 1, Košice	9	2.6
683031	Stredná odborná škola technická	Rožňava	Hviezdoslavova 5	Hviezdoslavova 5, Rožňava	5	1.4
683205	Stredná priemyselná škola strojnícka	Košice	Komenského 2	Komenského 2, Košice	9	2.2
683209	Technická akadémia	Spišská Nová Ves	Hviezdoslavova 6	Hviezdoslavova 6, Spišská Nová Ves	24	2.6
684102	Stredná priemyselná škola stavebná a geodetická	Košice	Lermontovova 1	Lermontovova 1, Košice	7	1.3
686103	Obchodná akadémia	Košice	Watsonova 61	Watsonova 61, Košice	33	—
686117	Obchodná akadémia	Michalovce	Kapušianska 2	Kapušianska 2, Michalovce	12	1.4
686120	Obchodná akadémia	Rožňava	Akademika Hronca 8	Akademika Hronca 8, Rožňava	8	—
686127	Obchodná akadémia	Trebišov	Komenského 3425/18	Komenského 3425/18, Trebišov	16	2
686213	Stredná odborná škola ekonomická	Spišská Nová Ves	Stojan 1	Stojan 1, Spišská Nová Ves	10	1.6
688129	Stredná odborná škola technická	Košice	Kukučínova 23	Kukučínova 23, Košice	5	1.4
688132	Stredná odborná škola technická	Michalovce	Partizánska 1	Partizánska 1, Michalovce	18	2.4
688303	Stredná priemyselná škola elektrotechnická	Košice	Komenského 44	Komenského 44, Košice	21	1.7
688403	Stredná priemyselná škola dopravná	Košice	Hlavná 113	Hlavná 113, Košice	5	1
