skola	NM	nazov	mesto	ulica	N	N_ZZ	N_SZP	N_C	znamka	uspes	ptil_skol	N_úspM	dlzka_studia	interní N	interní PÚ	externí N	externí PÚ	GYM_4 N	GYM_4 PÚ	GYM_8 N	GYM_8 PÚ
621,012	97	Gymnázium Ladislava Novomeského	Senica	Dlhá 1037/12	42	0	0	0	1.6	67.9	75.4	42	4/8	42	67.9	—	—	32	68	10	67.7
621,014	98	Gymnázium F. V. Sasinka	Skalica	Námestie Slobody 3	25	0	0	0	1	52.8	24.6	22	4/8	25	52.8	—	—	23	52.9	2	51.7
621,015	114	Gymnázium Jána Hollého	Trnava	Na Hlinách 30	49	2	0	0	2.2	65	58.2	48	4/8	49	65	—	—	41	62.7	8	76.7
621,016	78	Gymnázium Angely Merici	Trnava	Hviezdoslavova 10	17	1	0	0	3	63.1	49.2	17	4/8	17	63.1	—	—	13	57.9	4	80
621,017	108	Športové gymnázium Jozefa Herdu	Trnava	Bottova 31	20	1	0	0	2.1	69.5	81.1	20	4/8	20	69.5	—	—	19	69.1	1	76.7
621,018	24	Súkromné bilingválne gymnázium	Galanta	Hodská 10	4	0	0	0	1.8	27.5	—	1	5	4	27.5	—	—	—	—	—	—
621,019	116	Gymnázium Jána Baltazára Magina	Vrbové	Beňovského 358/100	6	0	0	0	2	61.1	—	6	4/5	6	61.1	—	—	2	50	—	—
621,022	41	Súkromné gymnázium s VJM	Dunajská Streda	Hlavná 21	10	0	0	0	—	92.7	—	10	4	10	92.7	—	—	10	92.7	—	—
621,503	112	Stredná zdravotnícka škola	Trnava	Daxnerova 6	7	0	0	0	—	22.4	—	1	4	7	22.4	—	—	—	—	—	—
623,002	73	Súkromná stredná odborná škola Via Humana	Skalica	Mallého 2	10	1	0	0	2	30.7	—	5	4	10	30.7	—	—	—	—	—	—
623,005	58	Stredná odborná škola s VJM - Szakközépiskola	Dunajská Streda	Gyulu Szabóa 21	1	—	—	—	—	—	—	1	2/4	1	—	—	—	—	—	—	—
624,001	78	Stredná priemyselná škola stavebná D. S. Jurkoviča	Trnava	Lomonosovova 7	17	0	0	0	—	40.2	13.1	12	4	17	40.2	—	—	—	—	—	—
624,501	153	Stredná priemyselná škola	Trnava	Komenského 1	38	2	0	0	2.2	35.2	7.4	20	4	38	35.2	—	—	—	—	—	—
626,103	36	Obchodná akadémia	Hlohovec	Tehelná 4	1	—	—	—	—	—	—	1	4	1	—	—	—	—	—	—	—
626,105	174	Obchodná akadémia	Trnava	Kukučínova 2	5	0	0	0	1.4	60	—	3	4/5	5	60	—	—	—	—	—	—
628,101	33	Stredná odborná škola technická - Müszaki Szakközépiskola	Dunajská Streda	Kračanská 1240/36	3	0	0	0	2.3	47.8	—	2	4	3	47.8	—	—	—	—	—	—
628,301	106	Stredná priemyselná škola elektrotechnická	Piešťany	Brezová 2	41	0	0	0	2	36.3	9	26	4	41	36.3	—	—	—	—	—	—
628,304	42	Stredná odborná škola elektrotechnická	Gbely	Učňovská 700/6	1	—	—	—	—	—	—	—	4	1	—	—	—	—	—	—	—
628,305	173	Stredná odborná škola elektrotechnická	Trnava	Sibírska 1	19	3	0	0	2.5	27.7	3.3	9	2/4	19	27.7	—	—	—	—	—	—
628,401	104	Stredná priemyselná škola dopravná	Trnava	Študentská 23	6	0	0	0	2.2	40	—	4	4	6	40	—	—	—	—	—	—
631,001	71	Gymnázium Janka Jesenského	Bánovce nad Bebravou	Radlinského 665/2	26	1	0	0	1.8	65.9	65.6	26	4/8	26	65.9	—	—	21	66.2	5	64.7
631,002	79	Gymnázium	Dubnica nad Váhom	Školská 2	23	0	0	0	1.5	77.5	98.4	23	4/8	23	77.5	—	—	17	78.4	6	75
631,003	22	Spojená škola sv. J. Bosca - Gymnázium	Nová Dubnica	Trenčianska 66/28	3	0	0	0	2.7	32.2	—	2	4/8	3	32.2	—	—	—	—	3	32.2
631,004	113	Gymnázium	Myjava	Jablonská 5/301	22	0	0	0	—	63.2	50	21	4/5/2008	22	63.2	—	—	15	63.6	3	63.3
631,005	80	Gymnázium M. R. Štefánika	Nové Mesto nad Váhom	Športová 41	21	0	0	0	1.3	43	15.6	16	4/8	21	43	—	—	14	44.5	7	40
631,006	20	Gymnázium sv. Jozefa	Nové Mesto nad Váhom	Klčové 87	6	0	0	0	1.3	57.8	—	6	4	6	57.8	—	—	6	57.8	—	—
631,007	29	Bilingválne slovensko-španielske gymnázium	Nové Mesto nad Váhom	Štúrova ulica 2590/31	2	0	0	0	1	51.7	—	2	5	2	51.7	—	—	—	—	—	—
631,008	80	Gymnázium	Partizánske	Komenského 2/1074	32	4	0	0	1.9	63.9	53.3	31	4	32	63.9	—	—	32	63.9	—	—
631,009	131	Gymnázium	Považská Bystrica	Školská 234/8	52	3	0	0	1.7	53.8	28.7	49	4/8	52	53.8	—	—	43	53.2	9	57
631,011	29	Gymnázium I. Bellu	Handlová	Lipová 15	9	0	0	0	1.7	63	—	9	4	9	63	—	—	9	63	—	—
631,012	23	Spojená škola - Gymnázium	Nováky	Rastislavova 332	9	1	0	0	1	56.3	—	8	4/8	9	56.3	—	—	2	58.3	7	55.7
