skola	nazov	mesto	ulica	N	znamka
652501	Súkromná spojená škola - Súkromná stredná umelecká škola	Martin	J. Lettricha 3	5	2.8
652503	Súkromná stredná umelecká škola	Žilina	Hálkova 2968/22	56	2.6
653003	Súkromná stredná odborná škola	Dolný Kubín	SNP 1202/14	2	3.5
653004	Stredná odborná škola	Námestovo	Hattalova 968/33	88	2.7
653007	Stredná odborná škola sv. Jozefa Robotníka	Žilina	Saleziánska 18	42	3.6
653008	Súkromná stredná odborná škola	Žilina	Saleziánska 18	30	2.6
653009	Súkromná stredná odborná škola spoločného stravovania	Žilina	Závodská cesta 2961	11	3.5
653011	Súkromná stredná odborná škola	Bytča	Sidónie Sakalovej č. 182	62	3
653201	Stredná odborná škola strojnícka	Kysucké Nové Mesto	Športová 1326	113	3.2
653202	Spojená škola	Martin	Červenej armády 25	91	4
